"Pin","Main","Alt1","Alt2","Alt3","Project use"
1,"GP0","SPI0_RX","I2C0_SDA","UART0_TX",
2,"GP1","SPI0_CSn","I2C0_SCL","UART0_RX",
3,"GND",,,,
4,"GP2","SPI0_SCK","I2C1_SDA",,
5,"GP3","SPI0_TX","I2C1_SCL",,
6,"GP4","SPI0_RX","I2C0_SDA","UART1_TX",
7,"GP5","SPI0_CSn","I2C0_SCL","UART1_RX",
8,"GND",,,,
9,"GP6","SPI0_SCK","I2C1_SDA",,
10,"GP7","SPI0_TX","I2C1_SCL",,
11,"GP8","SPI1_RX","I2C0_SDA","UART1_TX",
12,"GP9","SPI1_CSn","I2C0_SCL","UART1_RX",
13,"GND",,,,
14,"GP10","SPI1_SCK","I2C1_SDA",,
15,"GP11","SPI1_TX","I2C1_SCL",,
16,"GP12","SPI1_RX","I2C0_SDA","UART0_TX",
17,"GP13",,"I2C0_SCL","UART0_RX",
18,"GND",,,,
19,"GP14","SPI1_SCK","I2C1_SDA",,
20,"GP15","SPI1_TX","I2C1_SCL",,
21,"GP16","SPI0_RX","I2C0_SDA","UART0_TX",
22,"GP17","SPI0_CSn","I2C0_SCL","UART0_RX","Data from serial sensors"
23,"GND",,,,
24,"GP18","SPI0_SCK","I2C1_SDA",,
25,"GP19","SPI0_TX","I2C1_SCL",,
26,"GP20",,"I2C0_SDA",,
27,"GP21",,"I2C0_SCL",,
28,"GND",,,,
29,"GP22",,,,
30,"RUN",,,,
31,"GP26","ADC0","I2C1_SDA",,
32,"GP27","ADC1","I2C1_SCL",,
33,"GND","AGND",,,
34,"GP28","ADC2",,,
35,,"ADC_VREF",,,
36,"3V3_OUT",,,,
37,"3V3_EN",,,,
38,"GND",,,,
39,"VSYS",,,,
40,"VBUS",,,,
